8인실로 예약 가능한가요?	8인실은 예약 가능해요
요즘 어떤 제품이 제일 잘나가요?	검정색 미니 토드백이무난하니 제일 잘나가요
휴지 좀 더 가져다 주세요	휴지 가져다 드릴게요
얼마인가요?	2만원 입니다
같은 사이즈로 회색하고 갈색 두 종류를 보고 싶습니다	알겠습니다
화학하고 천연이 있어요?	둘 다 따로 여러가지 있어요
간짜장 두 개랑 짬뽕 두 개 주세요	잠시만 기다리세요
싸이버거 단품은 삼천사백이고 세트 같은 경우는 뭐 있어요?	감자랑 콜라가 들어가요
휴지 있나요?	혹시 모르니까 휴지 챙겨서 가세요
여기 기프티콘 대면 되죠?	다 되셨습니다
얼마나 있으면 나와요?	이제 나와요
한 팩에 얼마인가요	4000원입니다
머리 너무 짧게 자르지 말고 명절도 있고 하니까 좀 예쁘게 잘라 주시는데 비용 얼맙니까?	만원입니다
음료는 나가서 마실 거라 플라스틱 용기에 주세요	아이스 카페모카 한 잔 블루베리 베이글 결제 도와드릴게요
어제 여기서 산 가디건에 얼룩같은게 있어서 교환받고 싶어서 가져왔어요	교환해드리겠습니다
원하는 요리 있으면 주문도 되나요?	그 전날에 연락 주시면 준비해 놓을 수 있어요
기침이 나와요	하루 3회 한 알씩 드세요
여자 260사이즈 신발도 있나요?	여자는 250까지만 나와요
그런데 철분제는 예전에 제가 먹어 보니깐 속이 조금 안 좋더라고요	철분이기 때문에 약간의 위장장애가 있을 수 있습니다
더블베드 룸과 가격 차이가 얼마나 나나요?	더블베드 룸은 1박에 60000원, 트윈베드 룸은 1박에 80000원이에요
금 제품 인가요?	14k입니다
이 반지는 얼마나 하죠?	54000원 입니다
일요일도 영업하나요?	일요일은 쉬어요
음식 주문은 할 수 있어요?	음식 주문 할 수 있습니다
16000원 맞죠	아 손님 죄송한데 저희가 세트가격을 올리게되서 20000원입니다
얼마나 기다려야 하나요?	오후에 가능합니다
들고 가실 건가요?	손잡이 있는 캐리어에 담아드리겠습니다
네 사이즈 말씀해주세요	90사이즈 부탁드립니다
포켓볼도 게임 가능한가요?	포켓볼은 바로 시작할 수 있습니다
떡볶이 1인분만 주문하고 싶은데 포장이 되나요?	포장은 세트메뉴만 가능합니다
드시고 가세요?	아뇨 포장이에요
정액제로 끊으면 할인되나요?	10일 끊으시면 1일은 무료로 사용하실 수 있습니다
짐 보관하는 곳이 따로 있나요?	따로 없고 카운터 뒤에 보관해드리겠습니다
몇 시부터 브레이크타임인데요?	3시부터 4시 반까지는 브레이크 타임이에요
제가 현금이 없어서 그런데 카드 가능한가요?	돼요
풀장은 어린이도 사용 가능한가요?	사용 가능해요
남자 구두는 어떻게 해예?	남자 구두는 13만원에서 15만원 사이에요
숱 치는 비용 얼마 들어요?	고객님 기장은 육만 원이면 돼요
오늘 날짜로 예약하는 게 맞으신가요?	오늘 바로 묵을 예정입니다
주소가 어떻게 되시죠?	잠시 후에 배달해드릴께요.
따로 드시고 계신 약 있으세요?	피부과 약 다 드시고 드시는 게 좋습니다
회사에 신고다닐만한 구두 좀 보려구요	이 제품이 데일리로 신기에 좋아요
갈비 세트는 한 판이 어느 정도 크기가 되나요?	크기보다 가격대를 정해주시면 맞춰서 나가요
이거는 가격이 얼만데요?	지금은 구만 원에 드릴게요
아이스 아메리카노 30개 주세요	단체 주문은 재료 추가 불가능합니다
네 여기도 체인점이죠	체인점입니다
고추가 들어가니까 확실히 맛있네요	고추 넣으면 맛있어요
남방 같은 거 어떠세요?	점잖아 보인다
빵을 언제 주문해요?	빵은 이틀 전에 주문하시면 되세요
드시고 가세요?	아뇨 테이크아웃이요
얼마나 기다려야 됩니까?	15분 정도면 충분합니다
간장게장 있죠?	있어요
화장실은 어디에요?	여기 나가서 옆에 있어요
여기 와이파이 있어요?	와이파이 키셔서 IPTIME 접속하시면 되세요
이런 거는 얼마예요?	만 원이에요
아메리카노 작은 사이즈로 주세요	아메리카노 작은 사이즈 드리겠습니다
고구마가 반한 티라미수 케이크 있나요?	케이크 맛있게 드세요
여기 차는 어디 대요?	여기 가게 앞에 대세요
정액제 가능한가요?	가능합니다
그럼 내가 한 세 개, 네 개 하려면 미리 전화 좀 해놔도 되는 거죠?	미리 전화하시면 저희가 만들어 드려요
요즘 제일 핫한 게 어떤 스타일이에요?	여기 딱인 제품이 있네요
어떻게 잘라드릴까요?	저 지금 스타일에서 3센티 정도만 잘라주세요
영수증 줄 수 있나요?	음료랑 함께 드릴게요
국물 좀 더 주시면 안 될까요?	더 드릴게요
운동화는 며칠 걸려요?	삼 일에서 사 일 정도 걸려요
로스가스로 주세요	조금만 기다려 주세요
한 달 정도 장기 투숙 가능한가요?	선불로 결제하시면 장기 투숙이 가능해요
요즘 잘나가는 모델은 뭐에요?	이쪽에 있는 두 모델이 잘 나갑니다
염색약 제품명을 알 수 있을까요?	저희 체인점에서만 사용 가능한 태부사랑 제품을 사용합니다
치킨무도 많이 가져다 주세요	알겠습니다
화장실은 어디 있어요?	요기 나가시면 돼요
하트링으로 되어 있는 거는 얼마예요?	현금하시면 14000원 카드하시면 15000원이요
회원등록 되어 있으면 포인트 사용 가능한가요? 카드가 있어야 해요?	카드가 없으면 포인트 적립은 가능하시고, 사용은 불가능하세요
아침 식사는 호텔 내에서 가능한가요?	아침 식사는 호텔에서 가능하세요
그럼 블랙 밀크티 큰 사이즈로 하나 주세요	음료 우측에서 드리겠습니다
혹시 예약같은 거도 가능할까요?	예약도 가능합니다
삼겹살, 썰어 드릴까요?	삼겹살은 썰어 주고 목살도 만 원어치 주세요
따뜻한거요?	따듯한거 주세요
까르보나라에는 치즈 많이 들어가나요?	까르보나라 맛있어요
사과 8개만 좀 골라 주실래요?	제가 골라서 담아드릴게요.
기름이 많으세요?	이 제품이 주름 미백 다 되고 보통 고객님 나이대에 많이 발라요
이거는 가격이 얼마예요?	3만 원입니다
그럼 라면 취소해주시고 그걸로 지금 가져다주세요	빨리 가져다드릴게요
자몽 주스 사이즈는 어떻게 드릴까요?	라지 사이즈로 주세요
라볶이랑 참치김밥 주세요	준비되면 진동벨로 알려드릴게요
크림 말고 치즈 좀 올라간 거 좋아하는데	치즈가 올라간 건 스파게티는 없고 리조또가 있어요 필라프는 볶음밥이구요
포카리스웨트 2개만 꺼내 먹을게요	3000원입니다
여자애들은 어떤 색 가방을 좋아해요?	여아용은 이 색깔 아니면 이 가방도 많이 나가는 편이에요
딸기 주스는 뭐예요?	딸기 주스는 우유에 딸기를 넣어 만든 라떼 입니다
찰과상 연고도 사려고 하는데 어디 있나요?	왼쪽 벽 선반 두 번째 칸에 있습니다
네 내일 어떤 것을 하시려고 하나요?	감사합니다
몇 분이 투숙하시나요?	한 명이에요
베이글은 어떤 종류가 있나요?	블루베리 베이글이랑 크림치즈 베이글 두 가지 있어요
빈대떡은 고기국수에 포함돼서 나와요?	아뇨 따로예요 사이드 메뉴라서 필요하시면 시키시면 돼요
내의 105 사이즈는 안 나와예?	남자는 105 여자는 100까지 나와요
적립도 같이 해주세요	적립해드릴게요
빵 사갈 때 봉툿값 받아요?	지금은 아니지만 3월부터는 봉툿값 받아요.
같이 입을 수 있게 넥타이도 함께 보여주세요	알겠습니다
요거는 어때요 좀 편해요?	이거는 좀 편하면서 색깔도 무난하죠
덱을 두 자리로 예약해 드릴까요?	차도 두 대입니다
현금으로 결제하면 할인해주시나요?	현금결제로 하시면 10프로 할인해드립니다.
초코케이크 포장되나요?	포장은 두 조각 이상부터 가능하세요
혹시 리필도 되나요?	아메리카노 하신 거에 100원 추가하시면 돼요
요즘 과일은 뭐가 맛있나요?	요즘엔 귤도 맛있고 딸기도 맛있어요.
도라지도 있어요?	오늘 들어와서 아주 싱싱해요
아재김밥 이게 살짝 매콤하다 했는데?	살짝 매콤해요 그거 싫으시면 야채 하시면 돼요
느끼하지 않나요 미소는?	일본식 된장 생각하시면 돼요
혹시 예약하셨나요?	예약은 안했습니다
엘지 멤버십 할인되나요?	죄송한데 저희는 그런 거 안돼요
아이스티도 시원하죠?	아이스티는 시원한 음료입니다
이거는 얼마예요 핑크색 가방	그것은 16000원입니다
저거는 매운 가루?	일본의 매운 가루 일곱 개가 섞여있어요
저 고기는 뭐 해 먹는 거죠?	저 고기는 김치찌개에 넣어서 먹어요
이 제품은 얼마예요?	이 제품, 세일해서 십 오만 원에 드릴게요
여기 가게 혹시 커피도 팔아요?	이 제과점은 커피도 팔아요
내가 라떼를 좋아하는데 어떤 원두가 괜찮을까요?	브라질 원두랑 라떼가 잘 어울려요
파티룸에 풍선장식을 하고 싶은데 가능한가요?	장식은 직접 하셔도 되고 비용을 추가하시면 저희가 해 드리기도 해요
그럼 여기서 주문하면 되나요?	말씀하세요
일요일도 하세요?	일요일도 똑같이 열어요.
절편이 동그랗게 생긴 떡인가요?	마름모 모양으로 생겼어요
컵 좀 주시겠어요?	컵은 셀프로 가져가시면 됩니다
할인되는 카드 있어요?	현대엠포인트와 삼성포인트 신용카드, 씨제이원카드로 적립 가능하세요
네 그냥 농도는 기본으로 해주세요	필요하시면 말씀해주세요
너무 많이 가지고 계신다면 조금 더 큰 방을 드릴까요?	그건 너무 크니까 8인실로 주세요
인스타보고 왔는데 할인되나요?	천천히 둘러보세요
우렁이 된장 우렁이는 국산 거예요?	국산 써요
소쿠리에 저건 얼마에요?	한 소쿠리에 오천 원이에요.
그러면 그냥 저기 하루 종일 빅맥 주세요	4900원 결제 도와드릴게요
야외 바비큐장 있나요?	야외 바비큐장은 추가요금을 주시면 사용 가능해요
남자친구 나이가 몇 살인가요?	28살이에요
이 제품과 똑같은 바지는 없나요?	비슷한 제품이 있지만, 재고가 없어서 재입고 기다리셔야 해요
어떤 스타일로 찾고 계시나요?	호피 무늬 예쁘네요
시간은 며칠 정도 걸리시죠	너무 늦게 말고 하루 전에 말씀하시면 돼요
이거는 배낭처럼 메면 되나요?	이렇게 들고 다니셔도 되고 아니면 이렇게 하셔도 돼요
화이트는 없나요?	화이트는 있었는데 어제 빠졌어요
어떠세요?	여기 고무 졸리는데서 조금 아프네
좀 진한 색 있음 좋은데	진한 거는 얇은 거밖에 없어요
찌개용으로 썰어 주실수 있나요?	가능합니다.
아이를 위한 벙어리장갑은 판매하지 않고 있나요?	키즈용 장갑은 안쪽에 따로 비치해 두었습니다
어떤 메뉴가 맛있나요?	저희는 모든 메뉴가 맛있습니다
결제는 삼성페이, 카카오페이 이런 것도 다 돼요?	삼성페이, 카카오페이 전부 가능합니다
몇 개 드릴까요?	하나만 주세요
재질이 좋아서 그런가요? 이건 재질이 뭐에요?	프라다천이라고 하는데요
낱개로 파는 떡은 다 이천 원이에요?	떡의 종류나 크기에 상관없이 한 개에 이천 원이에요
사과 박스째로는 얼마에요?	사과는 한 박스에 3만 원이에요.
최대한 빨리 부탁드릴께요	알겠습니다
제주도예요? 요거 혹시 새콤하고 이런 건 아니예요?	지금 나오는 귤은 새콤하지 않고 다 달아요
포크 우동은 뭐예요?	포크 우동은 기본 하얀색 우동이에요
꽃무늬로 된 원피스 있나요?	컬러 두 가지 있어요
현금 영수증 필요하세요?	현금 영수증 해주세요
다음주에 예약 가능한가요?	성함하고 전화번호만 남겨주시면 됩니다.
네 미디엄 사이즈로 보여주세요	잠시만 기다려주세요
기장은요?	그런거는 가죽 전문으로 하는 데 가셔야 돼요
단품으로 사면 할인은 안 되나요?	할인은 세트로 구매시에만 적용됩니다
에어쿠션, 커버되는 촉촉한 거 필요하세요?	그러면 이 에어쿠션 쓰시면 돼요
추어탕을 직접 끓이시는 거죠?	직접 하죠
4인 가족이 먹으려면 라지 한 판으로 가능할까요?	성인 같으면 네 명 먹기는 좀 모자랄 겁니다
파워텐이랑 똑같은 거예요?	엔포는 성분이 조금 다른데 효과가 더 좋아요
예약했는데 어디로 가면 되나요?	방 키 가지고 저를 따라오세요
없고요 티 멤버십 할인받을려면 뭐 보여주면 되나요	바코드 보여주시면 되고요 골드는 이십 프로 실버는 십오 프로까지 할인되세요
얼마예요?	한달분에 4만원입니다
등심 2근만 포장해주시겠어요	등심 2근 24000원이에요
할인율이 어느 정도인가요?	메뉴마다 다르지만 십오 퍼센트에서 삼십 퍼센트 정도 할인됩니다
이건 얼마예요?	4만 5천 원이요
한 번 신어볼까요?	매트 위에 올려드릴게요 한 번 신어보세요
그럼 최소 몇 개 구매해야 되나요?	한 바구니 단위로 팔고 있어요.
이거는 얼마예요?	이거는 이천 원이요
기장만 수선 돼요?	길이와 소매 수선은 가능합니다
사장님 허니 브래드는 직접 만드신거에요?	직접 만들었습니다
보통 일반 파마는 얼마예요?	일반 파마는 3만5천 원입니다
네 얼마인가요?	8천 원입니다
아메리카노 한 잔 하고, 오리지날 프레즐 하나 주세요	지금 오리지날 프레즐 다 팔려서 스틱만 판매하고 있습니다
객실이 몇 평, 몇 평 있나요?	오인실용으로 서른한평형, 스물여덟평형이 있는데, 둘 다 방 두 개 거실 하나예요
혹시 약국 몇 시부터 몇 시까지 하세요?	저희 약국은 여덟 시 반부터 밤 여덟 시까지 합니다
현금영수증 해주세요	현금영수증 번호 알려주세요
검은색도 있고?	다른 디자인으로 있습니다.
아 빨래를 이 용량 만큼 넣으면 돼요?	적당량 이 정도 높이 들어가도록 넣으면 돼요
주문 도와드릴까요?	아까 시켰어요
뭐를 만들 때요?	국물 베이스 낼 때
거기 혹시 청소는 해줘요?	청소는 해 드려요
혹시 타종 식빵도 판매하나요?	타종 식빵은 소량 생산이라 오후 되면 없어요
세탁은 어떻게 하나요?	드라이클리닝해주세요
네, 더 필요하신 것은 없으신가요?	필요한 거 없습니다
얼마 전에 전화드리면 돼요?	주문하시면 바쁠 때 아니면 50분 내로 다 나가요
네 그 반도 유보란데 배달 되나요?	동구는 저희 구역이 아닙니다
평일은 18만원이에요?	평일은 18만원이에요
결제는 삼성페이 되나요?	결제해드릴게요
마음에 안 들면 바꾸러 와도 되나요?	영수증 지참해서 15일 이내에 오시면 교환해 드립니다
샴푸 제품은 얼마 정도 해요?	탈모 케어 샴푸는 이만 팔천 원입니다
종목은 어떤게 있나요?	종목은 삼구하고 사구 있어요
청소년들은 몇 시까지 이용이 가능한가요?	청소년들은 아침 9시부터 저녁 10시까지 이용 가능합니다
일반재질보다 세모가 더 비싼가요?	세모가 더 비쌉니다
깻잎도 3천 원어치 파나요?	팔아요
금귤은 종류가 다양하게 있어요?	금귤은 지금 한 가지밖에 없어요
백화점이나 어디 사러 가면 샘플 좀 주잖아요?	샘플은 있는데 전 제품의 샘플이 다 나오는 건 아니에요
이건 가격이 얼마예요?	이거는 가격이 46200원이에요
초밥 종류는 없나요?	저희는 덮밥류만 팔아요
약까지 다 해서 3만 5천원이에요?	그런데 이제 3월 되면 행사가 들어가서 싸져요
남자 스킨로션 가격대가 어떻게 돼요?	남자 스킨로션은 7천 원으로 저렴해요
삼월 이십일 예약 가능한가요?	삼월 이십일은 예약 가능해요
운동화 끈 색깔 다른 것도 있나요?	이쪽에서 보세요
잘라드릴까요?	잘라주세요
혹시 쿠폰 있으세요?	쿠폰 종이 4개 찍었어요
목살은 왜 없죠?	목살은 품절됐어요
바비큐는 저희가 재료를 준비해서 가야 하죠?	먹을 거만 사 오시면 불피워주고 어른 2인에 만오천원 받고 숯불 피워서 가져다드려요
다른 제품으로 교환하면 되나요?	고객님 불편을 드려서 죄송합니다
시코 영 샴푸 같은 거?	그거는 이만오천원이에요
뜨거운 것도 이렇게 되나요?	타이거 밀크티는 뜨거운게 안나오고 기본적인 실론 밀크티는 따뜻한 것도 가능합니다
인원이 한 명 추가되었는데 얼마 더 추가되나요?	만 원이에요
바비큐장 시설 7시까지 준비해 주실래요?	알겠어요.
이건 염색을 하면 어떻게 되나요?	염색을 해도 색이 금방 빠질 것 같아요
교환이나 환불은 가능한가요?	단순 변심으로 인한 교환 환불은 영수증 지참하셔서 1주일 이내로 방문하시면 됩니다
떡볶이 1인분에 얼마인가요?	2500원 입니다
혹시 여기 배달되시는가요?	아니오 저희 배달은 안 해요
유통기한도 알고 싶은데 언제까지죠?	오늘 기준으로 3일 안으로 드시면 돼요
네 종류가 어떤 거 있나요?	치즈 크러스트 리치골드 씬 팬 바이트 페이스트리 이렇게 있습니다
귤 좀 보여주시겠어요?	여기 맨 앞줄에 있는 것들이 다 귤이에요.
요거랑 앞에 꺼랑 똑같은 거예요?	옆으로 놓인 것이 같은 거에요
이용요금은 얼마인가요?	여덟명이시면 이십팔만원 정도 돼요
여기 몇 시까지 해요?	한 시까지 해요
헤이즐넛 바닐라라떼 많이 달아요?	많이 답니다
이거는 그거 아닙니까? 고추장에	가죽나물이에요
삼겹살 2줄도 파나요?	삼겹살 2줄은 너무 적고 한근부터는 구매가능하세요
4명 가능한가요?	자리 있습니다
캬라멜 마키야토는 단 거예요?	캬라멜 마키야토는 캬라멜 시럽이 들어가서 많이 답니다
가격은 할인은 안되고예?	할인은 안 돼요
보석 달린 검정색 운동화랑 이게 디자인은 똑같죠?	같아요
수건이나 샤워용품은 안에 있나요?	수건과 샤워용품은 객실에 비치되어 있어요
숯하고 삼겹살 두근 주실래요?	잠시만요
요즘 뭐 잘나가요?	차 같은 경우는 참귤하고 자몽이 제일 잘나가요
스위트룸 있나요?	몇 명이 투숙하나요?
어떻게 가입해요?	오른쪽에 버튼 있어요
토핑이 어떤 거 올라가요?	모짜렐라치즈, 리코타, 로마노크림치즈, 콰트로치즈퐁듀, 와규크럼블, 베이컨, 돼지고기, 고구마무스, 감자, 마요네즈, 토마토소스, 선드라이토마토, 코코넛허니버터파우더 그리고 이베리코포크 이렇게 들어갑니다
신발 색깔은 밤색만 있어요?	검은색이랑 밤색 두 가지 있어요
혹시 여기 프린트는 되나요?	전 좌석 프린트 가능합니다
몇 분이신가요?	총 다섯 명이 묵을 거예요
석고보다는 더 효과가 나은 모양이다, 그죠?	만원짜리 치고 이런 데 없어요. 그냥 저거 안 올려도 이만원씩 받거든요
돼지고기 국산 써요? 수입고기?	미국산이에요
얼마에요?	오천 원이요
이 제품 충전재는 뭐예요?	그 제품 충전재가 거위털이요
이게 소재가 정확하게 뭐죠?	울 50% 폴리 50% 섞여있어요
5분 기다렸다 3명 앉을게요	금액권은 앞에 기계에서 끊으시면 됩니다
할인은 안 해주시나요?	신상이다 보니 할인이 적용되지 않습니다
가격은 얼마인가요?	30만원입니다
음료 받으려면 얼마나 기다려야 하나요?	10분 정도 기다려 주시면 됩니다
너무 짧게 칼같이 주시네요	요즘 이상한 손님들이 많아서 어쩔 수 없이 제한을 걸었습니다
선물하실 건가요?	제가 하려고 해요
상품 종류 볼 수 있을까요?	여기 메뉴 있습니다
치실이랑 치간 칫솔 중에 뭐가 더 좋나요?	둘 다 효과는 비슷합니다
혹시 흡연실은 어디에 있나요?	이 쪽에 흡연실 2곳 있습니다
몇 달치예요?	넉달 치고, 하루에 한 알씩 드시면 석달 분이에요
세트로 드릴까요 단품으로 드릴까요?	단품으로 주세요
많이 매워요?	많이 맵지는 않아요
육회는 그냥 냉동한 거로도 하나요?	육회는 해동하고 나서 쓰기도 해요
시루떡은 한 되하면 몇 쪽이 나오나요?	시루떡은 아홉 장 나와요
선불인가요?	아뇨 앉으시면 돼요
커플석이라던지 그런건 혹시 있나요?	커플석 그런거는 없어요
저 신발로 사려면 어떻게 해야하죠?	1층 행사매대 앞으로 가주세요
여기요 여기 피자 세트가 있나요? 아니면 작은 거 하나 시키고?	세트가 따로 있기는 있어요
몇 명이서 오시는데요?	3명이 오시면 2명은 침대에서 주무시고 한 명은 이불깔고 주무셔야 해요
커피를 캔에 담아주시는건가요?	캔에 담아 드릴수도 있고 원하시면 종이컵에도 담아드립니다
여기 예약하고 와야 되는 거죠?	제가 혼자 하니까 다 예약하고 오세요
화장실은 어디있어요?	나가셔서 옆 상가 화장실 이용하시면돼요
다른 디자인도 있나요?	이건 꾸준히 인기있는 상품입니다
일박에 숙박료가 얼마죠?	제일 기본인 스탠더드 더블룸은 평일에 하시면 십일만 팔천 원이에요
커피에 샷이 몇 개 들어가요?	따뜻한 아메리카노에는 샷이 한 개 들어갑니다
몇 시부터 여는데요?	열 시부터요
육회 거리가 더 비싼 거예요?	육회 거리는 가격별로 큰 차이 없어요. 우리 손이 많이 가죠
클리닉 저거 한 번 하는데 삼만원이잖아요? 다섯 번 이렇게 정해서 해도 똑같나요? 비용이	비용은 똑같아요
메뉴판좀 주시겠어요?	세팅해 드릴게요
사장님 이 주황색 신발 얼마 씩 해요?	2만원이에요
제사상에 올릴 과일 찾는데 알이 좀 더 컸으면 해서요	잠깐 기다리시면 알 큰놈으로 가져올게요
따뜻한 것과 아이스 중에 무엇을 드릴까요?	아이스로 주세요
원래는 4명이 사는데 5명되면 추가가 되나요?	한 명 추가 돼요
마시고 가면 얼마예요?	드시고 가시면 3000원이에요
제가 시킨 메뉴에도 미니우동 나오나요?	나와요
간이 영수증은 안돼요?	근데 지금 그게 없는데요
발볼이 조금 작은 거 같아요	그럼 다른 제품 추천해드릴게요
샘플 주시나요?	챙겨드려요
비린내 많이 안나요?	비린내 많이 나진 않아요
사구 있나요?	있습니다
떡이 만구천원이면, 고물은 노란색인가요, 하얀색인가요?	만구천원짜리 떡은 노란색 고물이에요
객실이 몇 층에 있지요?	객실은 5층에 있어요
체크인할 수 있을까요?	305호실입니다
여기 PC방 프린트되나요	됩니다
초 필요하세요?	케이크 여기 있어요
요즘 피파 이벤트 카드 하던데 진행하고 있나요?	피파 이벤트는 오늘부로 종료입니다
며칠 연박 예정이신가요?	오늘부터 3박 4일 예정입니다
이거는 얼마예요?	만 육천오백 원이고 이거는 만 원이에요
우리 애 반에 친구들 해줄려고 빵 40개 할라믄 미리 주문해야 하나요?	빵 40개는 선주문해야 해요
한 번 해서 될게 아닌 거 같은데, 보통 몇 번해야 되죠?	주기적으로 해주시면 효과를 보실 수 있습니다
도로가 뭐에요?	도로는 참치뱃살입니다
3명이 먹을 건데 몇 호가 좋을까요?	3명이면 3호 정도가 적당하실 것 같아요
이건 뒤에 거랑 세트인가요?	다 세트예요 가방 하나만 안 팔아요
한 개당 얼마예요?	개당 가격이 7000원이예요
숟가락 하나 주세요	여기 있습니다.
적립하면 뭐 있나요?	다 적립하시면 핸드드립 커피 또는 아메리카노를 드립니다
볶음류 가격이 어떻게 되나요?	볶음류는 한 팩에 3000원입니다
저녁에 바비큐도 가능한가요?	시간 말씀해 주시면 숯 피워드려요
색상은요?	그거 한 컬러만 나와요
오뎅 국물은 가져다 주시나요?	가져다 드릴께요
오리털 파카인데 길이가 엉덩이 덮는 정도는 세탁비가 얼마에요?	오리터 파카 그 정도 길이는 칠 팔천 원 정도면 가능해요
현금이 없는데 그럼 어떻게 결제하나요?	계좌이체로 해주셔도 됩니다
회원가입을 해야지만 이용이 가능 한가요?	비회원으로도 이용 가능합니다
집이 어디신데요?	상인 1동 이편한이요
이런 가방을 뭐라고 불러요?	슬링백이요
결제는 카드로 할게요	카드 받았습니다
삼성페이 결제 되나요?	삼성페이 결제 가능합니다
방 에어컨이 고장 난 거 같은데 한번 봐주시겠어요?	방으로 바로 갈게요
특실과 일반실의 차이점이 뭔가요?	내부 시설과 방 넓이에 차이가 있어요
요 파우치는 얼마예요?	파우치는 만 삼천 원, 만 오천 원이 있어요
해물 짬뽕은?	없어요
아이스팩 함께 주실 수 있을까요?	봉지에 같이 넣어드리겠습니다
끓인 물도 있어요?	보이차 금방 내려드릴게요 많이 뜨거워요
착용해봐도 되나요?	저쪽에 거울 있습니다
일석은 얼마에요?	하루에 5천 원입니다
문 닫는 시간은?	새벽 1시까지 합니다
이 가방 현금으로 사면 얼마예요?	현금가는 10퍼센트 할인해 드려요
국거리용 고기는 할인이 된 가격인가요?	국거리용 고기는 30% 할인이 적용된 가격이에요
헉 벌써 다팔린거에요?	오늘 많이 사가시더라구요
그럼 음료수 따로 나옵니까?	콜라는 따로 사셔야 돼요
그럼 덜 맵게 해서 2인분 주세요	물이랑 반찬은 셀프입니다
결제는 카드로 하시나요?	계좌이체 가능할까요?
그거 하나 주세요	이것으로 드릴까요?
전 달기만 한 것보다 신맛이 강한 걸 좋아해요	그러면 맛이 새콤달콤한 7개 만 원짜리로 하세요.
그럼 햄 볶음밥은 햄해서 볶음밥 하시는 거에요?	짜장은 같이 안 나가고요
계산은 1층에서 하나요?	가지고 내려가시면 됩니다
365일간 휴무 없이 진행되는 거예요?	명절을 당일에만 하루씩 쉬고 있습니다
아이펜슬 그려볼 수 있는 게 있나요?	시제품이 있어요
내일 몇 시까지 퇴실해야 되나요?	내일 오후 1시까지 해주시면 돼요
병원에서는 어떤걸 먹어도 효과가 없다고 하더라고요	조금 도움은 될 수 있는데 진행이 안 되도록 도와주는거죠
불고기버거 세트 얼마에요?	4600원 입니다
이거 하나랑 콩장 3천 원어치만 주실래요?	3천 원어치는 없어요 5천 원부터에요
영수증 필요하세요?	하나만 주세요
그러면 지금 하우스버거 단품이 이거예요?	아니오 이게 단품이고 이게 세트예요
3가지 섞으면 더 저렴하게 되죠?	한팩에 3000원인데 3팩하면 8천원에 드릴게요
조금 길이가 긴 스타일이 있을까요?	잠시만요
약이 요새 좋은 게 다른 게 나온 게 있나요?	약은 똑같아요
옷이 엄청 싼 것 같아요	싸고 이쁜 옷 많으니 둘러보세요
초는 몇 개 드릴까요?	27개 주세요
배달도 하나요?	배달 합니다
몇 개 들었어예?	한 박스에 12개 들어있어요
좀 저가 상품으로는 어떤 거 있어요?	이 상품은 5800원이에요
적립 하나 만들어 주세요	전화번호 입력해 주세요
저 앞머리만 자를 건데 얼마에요?	천 원입니다
컬러 프린트도 할 수 있나요?	흑백 프린트만 가능합니다
제품 가격도 올라갔어요?	제품 가격은 그대로예요
숙박은 며칠 하실 건가요?	오늘 하루만 할게요
적립할 때 여러 명이 오면 어떻게 하나요?	잔 수에 따라 찍어드립니다
오픈한 지 얼마나 됐습니까?	저희 칠월달에 했습니다
저희가 대구에서 가려고 하는데 시간이 얼마나 걸릴까요?	대구에서 오시려면 한 세시간이 걸려요
알아보고 온 건 없는데 저 윗 칸에 있는 검정색이 괜찮은 것 같아요	안목이 있으시네요
예약하면 일요일에도 안해주시나요?	혼수머리는 옆에 미용실이 잘한다고 하더라고요
고기나 야채는 어디서 구입 가능한가요?	매점에서 구입하시면 돼요
카카오페이 되나요?	돼요
그라면 오늘 운동화도 하나요?	안하는 날 없이 다해요
아포카토도 커피에요?	아포카토는 아이스크림에 에스프레소 샷을 부어 먹는 음료입니다
한 게임에 얼마 정도 하나요?	시간당 계산을 합니다
컴퓨터 사양은 요즘 유행하는 게임이 다 돌아가나요?	배틀그라운드 돌아갑니다
저거는 스웨터식으로 나온 거예요?	살짝 니트 스타일하고 반반 섞였어요
몇 명 들어가예?	30명까진 다 들어가요
할인 카드 적용되었나요	할인 적용되었어요
이건 10얼마 하려나?	할인 들어가면 15만 원이요
레몬에이드 한 잔은 얼마에요?	레몬에이드는 2000원입니다
돼지고기 불고기 거리는 가격이 얼마예요?	돼지고기 불고기 거리는 육천원이요
여기는 오픈한지 오래 됐어요?	그건 잘 모르겠습니다
우둔은 아는데 홍두깨는 어딨는 건데요?	우둔은 큰 덩어리로 엉덩이 부위고 홍두깨는 그 안에 있는 거예요
이거는 가격 얼마예요?	이런 거는 7만 2천 원입니다
쫄면이랑 김밥 주세요	잠시만 기다리세요
물수건은 혹시 테이블 서랍 안에 들어있나요?	준비해 드릴게요
김치찌개 하려면 오천원어치 정도면 충분하죠?	오천원어치면 두 분이 충분해요
언제까지 할인하나요?	재고가 두 개 남아서 곧 끝나요. 할인이 많이 되어서 인기가 좋아요
여기 멤버십 할인도 해주세요	할인 카드 받았습니다
옆방이 청소가 안 끝나서 30분 후에 입실이 가능한데 괜찮으시겠어요?	결제 먼저 도와드릴게요
이거 한 번 해봐도 돼요?	가능합니다
